shot_number,phase,total_points,gfile_exists_points,effective_converged_points,gfile_existence_rate_percent,effective_convergence_rate_percent,avg_error_percent
38819,ramp-up,5,0,0,0.0,0.0,
38819,ramp-down,11,8,8,72.72727272727273,72.72727272727273,4.832810918741125e-08
38820,ramp-up,5,0,0,0.0,0.0,
38820,ramp-down,13,9,9,69.23076923076923,69.23076923076923,9.878954959770636e-08
38821,ramp-up,7,0,0,0.0,0.0,
38821,ramp-down,4,0,0,0.0,0.0,
38822,ramp-up,5,0,0,0.0,0.0,
38822,ramp-down,4,1,1,25.0,25.0,1.2898410098839714e-07
38836,ramp-up,6,0,0,0.0,0.0,
38836,ramp-down,7,3,3,42.857142857142854,42.857142857142854,6.240798875258022e-08
38838,ramp-up,6,0,0,0.0,0.0,
38838,ramp-down,9,2,2,22.22222222222222,22.22222222222222,2.381034871830219e-08
38844,ramp-up,6,0,0,0.0,0.0,
38844,ramp-down,8,2,2,25.0,25.0,2.2349432702275846e-08
38848,ramp-up,6,0,0,0.0,0.0,
38848,ramp-down,7,2,2,28.57142857142857,28.57142857142857,1.6510429767661875e-08
38849,ramp-up,6,0,0,0.0,0.0,
38849,ramp-down,6,3,3,50.0,50.0,9.460998962723255e-08
38906,ramp-up,5,0,0,0.0,0.0,
38906,ramp-down,5,2,2,40.0,40.0,2.9662325346360688e-08
38907,ramp-up,5,0,0,0.0,0.0,
38907,ramp-down,5,2,2,40.0,40.0,3.3466352881324656e-08
38909,ramp-up,5,0,0,0.0,0.0,
38909,ramp-down,4,2,2,50.0,50.0,7.511555374136245e-08
38911,ramp-up,6,0,0,0.0,0.0,
38911,ramp-down,5,1,1,20.0,20.0,8.678866832225876e-09
38913,ramp-up,6,0,0,0.0,0.0,
38913,ramp-down,5,1,1,20.0,20.0,7.985786263994218e-08
38914,ramp-up,7,0,0,0.0,0.0,
38914,ramp-down,4,1,1,25.0,25.0,1.195146230404752e-07
38915,ramp-up,6,0,0,0.0,0.0,
38915,ramp-down,5,1,1,20.0,20.0,5.792175773796615e-08
38917,ramp-up,6,0,0,0.0,0.0,
38917,ramp-down,6,3,3,50.0,50.0,3.1033979590328835e-08
38963,ramp-up,4,0,0,0.0,0.0,
38963,ramp-down,4,1,1,25.0,25.0,1.239310669179645e-07
38964,ramp-up,4,0,0,0.0,0.0,
38964,ramp-down,4,1,1,25.0,25.0,3.3858848354630126e-08
38965,ramp-up,5,0,0,0.0,0.0,
38965,ramp-down,3,2,2,66.66666666666666,66.66666666666666,5.855980001343727e-08
38966,ramp-up,5,0,0,0.0,0.0,
38966,ramp-down,4,0,0,0.0,0.0,
38967,ramp-up,5,0,0,0.0,0.0,
38967,ramp-down,4,1,1,25.0,25.0,2.0111035798806245e-07
38968,ramp-up,5,0,0,0.0,0.0,
38968,ramp-down,4,2,2,50.0,50.0,3.2204937122765586e-08
38969,ramp-up,5,0,0,0.0,0.0,
38969,ramp-down,4,1,1,25.0,25.0,3.6978002670813264e-08
38970,ramp-up,6,0,0,0.0,0.0,
38970,ramp-down,3,2,2,66.66666666666666,66.66666666666666,8.588748585507134e-08
38976,ramp-up,2,0,0,0.0,0.0,
38976,ramp-down,1,0,0,0.0,0.0,
38978,ramp-up,2,0,0,0.0,0.0,
38978,ramp-down,2,1,1,50.0,50.0,7.79306544556377e-09
38979,ramp-up,1,0,0,0.0,0.0,
38979,ramp-down,2,1,1,50.0,50.0,1.459176095842176e-07
