channel,r,z,width,height,turns_with_sign,material_index
3,0.132,0.835,0.0034,0.02,1,2
3,0.132,0.855,0.0034,0.02,1,2
3,0.132,0.875,0.0034,0.02,1,2
3,0.132,0.895,0.0034,0.02,1,2
3,0.132,0.915,0.0034,0.02,1,2
3,0.132,0.935,0.0034,0.02,1,2
3,0.132,0.955,0.0034,0.02,1,2
3,0.132,0.975,0.0034,0.02,1,2
3,0.132,0.995,0.0034,0.02,1,2
3,0.132,1.015,0.0034,0.02,1,2
3,0.132,1.035,0.0034,0.02,1,2
3,0.132,1.055,0.0034,0.02,1,2
3,0.132,1.075,0.0034,0.02,1,2
3,0.132,1.095,0.0034,0.02,1,2
3,0.132,1.115,0.0034,0.02,1,2
3,0.132,1.135,0.0034,0.02,1,2
3,0.132,1.155,0.0034,0.02,1,2
3,0.132,1.175,0.0034,0.02,1,2
3,0.132,1.192,0.0034,0.014,1,2
3,0.132,-1.189,0.0034,0.02,1,2
3,0.132,-1.169,0.0034,0.02,1,2
3,0.132,-1.149,0.0034,0.02,1,2
3,0.132,-1.129,0.0034,0.02,1,2
3,0.132,-1.109,0.0034,0.02,1,2
3,0.132,-1.089,0.0034,0.02,1,2
3,0.132,-1.069,0.0034,0.02,1,2
3,0.132,-1.049,0.0034,0.02,1,2
3,0.132,-1.029,0.0034,0.02,1,2
3,0.132,-1.009,0.0034,0.02,1,2
3,0.132,-0.989,0.0034,0.02,1,2
3,0.132,-0.969,0.0034,0.02,1,2
3,0.132,-0.949,0.0034,0.02,1,2
3,0.132,-0.929,0.0034,0.02,1,2
3,0.132,-0.909,0.0034,0.02,1,2
3,0.132,-0.889,0.0034,0.02,1,2
3,0.132,-0.869,0.0034,0.02,1,2
3,0.132,-0.849,0.0034,0.02,1,2
3,0.132,-0.829,0.0034,0.02,1,2
3,0.132,-0.809,0.0034,0.02,1,2
3,0.132,-0.789,0.0034,0.02,1,2
3,0.132,-0.769,0.0034,0.02,1,2
3,0.132,-0.752,0.0034,0.014,1,2
4,0.0812,-0.5715,0.0028,0.005,1,2
4,0.0812,-0.5665,0.0028,0.005,1,2
4,0.0812,-0.5615,0.0028,0.005,1,2
4,0.0812,-0.5565,0.0028,0.005,1,2
4,0.0812,-0.5515,0.0028,0.005,1,2
4,0.0812,-0.5465,0.0028,0.005,1,2
4,0.0812,-0.5415,0.0028,0.005,1,2
4,0.0812,-0.5365,0.0028,0.005,1,2
4,0.0812,-0.5315,0.0028,0.005,1,2
4,0.0812,-0.5265,0.0028,0.005,1,2
4,0.0812,-0.5215,0.0028,0.005,1,2
4,0.0812,-0.5165,0.0028,0.005,1,2
4,0.0812,-0.5115,0.0028,0.005,1,2
4,0.0812,-0.5065,0.0028,0.005,1,2
4,0.0812,-0.5015,0.0028,0.005,1,2
4,0.0812,-0.4965,0.0028,0.005,1,2
4,0.0812,-0.4915,0.0028,0.005,1,2
4,0.0812,-0.4865,0.0028,0.005,1,2
4,0.0812,-0.4815,0.0028,0.005,1,2
4,0.0812,-0.4765,0.0028,0.005,1,2
4,0.0812,-0.4715,0.0028,0.005,1,2
4,0.0812,-0.4665,0.0028,0.005,1,2
4,0.0812,-0.4615,0.0028,0.005,1,2
4,0.0812,-0.4565,0.0028,0.005,1,2
4,0.0812,-0.4515,0.0028,0.005,1,2
4,0.0812,-0.4465,0.0028,0.005,1,2
4,0.0812,-0.4415,0.0028,0.005,1,2
4,0.0812,-0.4365,0.0028,0.005,1,2
4,0.0812,-0.4315,0.0028,0.005,1,2
4,0.0812,-0.4265,0.0028,0.005,1,2
4,0.0812,-0.4215,0.0028,0.005,1,2
4,0.0812,-0.4165,0.0028,0.005,1,2
